path,subject,session,task,acq
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G3\A\Backup of Box 02 2023-07-10 16.30 Subject #044401_Danger.txt,danger,rev.01,rev,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G3\A\Backup of Box 03 2023-07-10 16.31 Subject #044402_Pinky.txt,pinky,rev.01,rev,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G3\A\Backup of Box 04 2023-07-10 16.30 Subject #044403_Brain.txt,brain,rev.01,rev,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G3\B\Backup of Box 01 2023-07-10 16.41 Subject #043960_Remy.txt,remy,rev.01,rev,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G3\B\Backup of Box 02 2023-07-10 16.40 Subject #044401_Danger.txt,danger,rev.01,rev,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G3\B\Backup of Box 03 2023-07-10 16.47 Subject #044402_Pinky.txt,pinky,rev.01,rev,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G3\B\Backup of Box 04 2023-07-10 16.41 Subject #044403_Brain.txt,brain,rev.01,rev,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G4\A\Backup of Box 01 2023-07-10 17.20 Subject #044406_Perla.txt,perla,rev.01,rev,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G4\A\Backup of Box 02 2023-07-10 17.19 Subject #043920_Pikachu.txt,pikachu,rev.01,rev,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G4\A\Backup of Box 03 2023-07-10 17.21 Subject #044404_Mighty.txt,mighty,rev.01,rev,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G4\A\Backup of Box 04 2023-07-10 17.28 Subject #044405_Stuart.txt,stuart,rev.01,rev,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G4\B\Backup of Box 01 2023-07-10 17.28 Subject #044406_Perla.txt,perla,rev.01,rev,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G4\B\Backup of Box 02 2023-07-10 17.31 Subject #043920_Pikachu.txt,pikachu,rev.01,rev,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G4\B\Backup of Box 03 2023-07-10 17.33 Subject #044404_Mighty.txt,mighty,rev.01,rev,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G4\B\Backup of Box 04 2023-07-10 17.40 Subject #044405_Stuart.txt,stuart,rev.01,rev,B
